PRE_NO,UNIT,ROUTE,REASON,Longitude,Latitude
PTBJ00328,PTB台灣電力股份有限公司台中區營業處(維護組),育英路(東英二街至振興路),孔蓋異常，恐影響民眾安危,120.6979358,24.13398118
PC2J00110,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,青海南街(77號),孔蓋異常，恐影響民眾安危,120.6354852,24.17304472
PC2J00111,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,黎明路三段(48號),孔蓋異常，恐影響民眾安危,120.6371509,24.17226495
PW4J00299,PW4台灣自來水股份有限公司第四區管理處台中給水廠,環中路四段(與五權西路二段口),孔蓋異常，恐影響民眾安危,120.6231377,24.14956842
PTCJ00025,PTC台灣電力股份有限公司台中區營業處豐原分處,豐勢路一段(245號前),孔蓋異常，恐影響民眾安危,120.7266818,24.25577492
PTBJ00395,PTB台灣電力股份有限公司台中區營業處(維護組),崇德六路一段與崇德六路一段31巷口(G6050CB4810),孔蓋異常，恐影響民眾安危,120.6956124,24.17980285
PTBJ00396,PTB台灣電力股份有限公司台中區營業處(維護組),崇德六路一段與崇德六路一段31巷口(G6050CB4832),孔蓋異常，恐影響民眾安危,120.69565,24.17981998
PW7J00081,PW7台灣自來水股份有限公司第四區管理處大里服務所,中山路二段(85號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7338133,24.14733266
PTBJ00402,PTB台灣電力股份有限公司台中區營業處(維護組),文心南十路(258號),孔蓋異常，恐影響民眾安危,120.6577128,24.1176983
CG1J00152,CG1欣中天然氣股份有限公司,臺灣大道1段35號一帶(綠川東街62號一帶),現場通報有瓦斯味道、設備損壞或用戶供氣中斷,120.6839437,24.13837831
CG1J00153,CG1欣中天然氣股份有限公司,民權路29號一帶(民權路25號至35號一帶),現場通報有瓦斯味道、設備損壞或用戶供氣中斷,120.6816826,24.1362635
GW5J00086,GW5臺中市政府水利局(污水營運科),福仁街(172號),孔蓋異常，恐影響民眾安危,120.6890335,24.14436768
GW5J00087,GW5臺中市政府水利局(污水營運科),旱溪東路一段(旱溪東路一段東英一街路口),孔蓋異常，恐影響民眾安危,120.7005977,24.13412222
GW5J00088,GW5臺中市政府水利局(污水營運科),大智路(大智路與信義街口),孔蓋異常，恐影響民眾安危,120.6890723,24.13407798
PTBJ00406,PTB台灣電力股份有限公司台中區營業處(維護組),仁和路(204號旁),孔蓋異常，恐影響民眾安危,120.6789381,24.12626069
PTBJ00407,PTB台灣電力股份有限公司台中區營業處(維護組),崇德六路一段30巷3號(G6050CC40),孔蓋異常，恐影響民眾安危,120.6957424,24.18007565
